Immobilized bus,Broken Truck,Vehicle excess,Accident victim,Running over,Fire vehicles,Occurrence involving freight,Incident involving dangerous freight,Lack of electricity,Fire,Point of flooding,Manifestations,Defect in the network of trolleybuses,Tree on the road,Semaphore off,Intermittent Semaphore,Slowness in traffic (%),
0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,9
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,3
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9
2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,
0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,7
1,2,0,1,0,0,0,0,0,0,0,0,1,0,1,0,10,3
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,10,9
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,9
2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,4
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,11,3
0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,13,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,17,4
1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,17,8
0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,18,1
1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17,7
0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1
