PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,WSPM
42.0,67.0,10.0,36.0,700.0,70.0,8.4,1014.4,-11.0,0.0,0.0
39.0,66.0,11.0,49.0,700.0,47.0,5.3,1015.5,-9.7,0.0,0.9
26.0,67.0,25.0,63.0,800.0,27.0,10.4,1015.7,-12.3,0.0,2.4
34.0,64.0,20.0,60.0,1300.0,27.0,7.4,1016.0,-8.3,0.0,1.5
47.0,68.0,16.0,44.0,1100.0,44.0,5.9,1016.5,-11.3,0.0,1.4
38.0,55.0,19.0,54.0,1000.0,28.0,8.7,1017.2,-11.3,0.0,4.2
32.0,55.0,35.0,55.0,1200.0,29.0,8.9,1018.3,-11.2,0.0,4.5
39.0,54.0,18.0,32.0,1000.0,48.0,7.8,1019.2,-11.0,0.0,2.6
30.0,50.0,9.0,15.0,700.0,68.0,5.7,1019.3,-11.4,0.0,1.5
16.0,26.0,13.0,13.0,500.0,71.0,3.0,1019.8,-12.1,0.0,1.1
3.0,8.0,12.0,16.0,500.0,69.0,4.9,1020.1,-12.6,0.0,2.1
3.0,8.0,5.0,11.0,400.0,77.0,2.2,1020.8,-12.1,0.0,1.0
3.0,9.0,6.0,22.0,500.0,60.0,2.6,1021.5,-12.1,0.0,1.4
9.0,14.0,15.0,53.0,800.0,24.0,5.2,1022.6,-11.9,0.0,1.2
11.0,21.0,15.0,67.0,1399.0,13.0,8.2,1023.2,-12.3,0.0,3.1
15.0,33.0,13.0,32.0,700.0,56.0,9.6,1023.5,-13.6,0.0,1.5
10.0,14.0,6.0,19.0,600.0,72.0,11.1,1023.1,-13.8,0.0,1.4
3.0,9.0,6.0,17.0,500.0,76.0,12.0,1022.5,-13.1,0.0,1.7
3.0,7.0,5.0,15.0,500.0,83.0,13.4,1021.4,-13.6,0.0,3.5
5.0,8.0,6.0,18.0,500.0,83.0,14.4,1020.2,-13.7,0.0,2.9
3.0,9.0,8.0,19.0,500.0,82.0,15.0,1019.1,-14.2,0.0,3.5
3.0,6.0,8.0,19.0,500.0,82.0,16.0,1018.5,-14.5,0.0,3.2
13.0,0.0,8.0,21.0,500.0,84.0,14.9,1017.9,-13.3,0.0,3.0
8.0,10.0,10.0,32.0,500.0,69.0,12.8,1018.1,-13.3,0.0,1.8
18.0,28.0,7.0,55.0,700.0,50.0,10.6,1018.7,-13.5,0.0,1.6
25.0,47.0,8.0,91.0,900.0,25.0,8.9,1019.1,-12.3,0.0,1.3
37.0,60.0,15.0,103.0,1100.0,10.0,7.5,1019.2,-11.3,0.0,1.5
52.0,84.0,24.0,104.0,1399.0,4.0,7.0,1019.4,-10.3,0.0,1.6
63.0,97.0,30.0,107.0,1500.0,4.0,6.6,1019.0,-10.7,0.0,1.6
72.0,103.0,32.0,103.0,1600.0,84.0,6.2,1018.3,-10.6,0.0,1.6
80.0,100.0,32.0,96.0,1500.0,84.0,4.7,1017.9,-9.9,0.0,1.5
82.0,100.0,28.0,90.0,1800.0,84.0,2.2,1017.4,-9.4,0.0,0.9
93.0,106.0,0.0,5.0,200.0,84.0,2.2,1017.0,-10.7,0.0,1.7
98.0,116.0,5.0,4.0,0.0,84.0,0.5,1016.7,-8.2,0.0,0.2
110.0,133.0,5.0,0.0,200.0,84.0,0.2,1016.4,-9.0,0.0,1.7
108.0,127.0,5.0,75.0,1500.0,84.0,0.3,1016.3,-7.5,0.0,0.0
104.0,116.0,15.0,72.0,2100.0,84.0,-0.1,1016.3,-8.3,0.0,1.0
100.0,108.0,17.0,68.0,2299.0,84.0,1.7,1016.1,-7.6,0.0,1.0
103.0,111.0,35.0,65.0,2399.0,84.0,5.3,1015.9,-7.9,0.0,1.3
104.0,123.0,75.0,64.0,2200.0,84.0,7.4,1015.4,-7.9,0.0,1.5
114.0,136.0,79.0,70.0,2200.0,84.0,8.3,1014.7,-7.1,0.0,1.4
124.0,150.0,77.0,69.0,1899.0,84.0,10.7,1013.6,-6.6,0.0,1.1
127.0,147.0,76.0,68.0,1800.0,33.0,12.3,1012.3,-7.2,0.0,1.4
129.0,149.0,84.0,78.0,1700.0,84.0,12.2,1010.9,-7.3,0.0,0.6
142.0,154.0,79.0,77.0,1600.0,84.0,13.6,1010.3,-7.8,0.0,1.7
85.0,102.0,60.0,86.0,1500.0,84.0,13.7,1009.8,-7.1,0.0,1.6
3.0,3.0,71.0,118.0,1600.0,69.0,12.9,1009.7,-6.2,0.0,1.0
3.0,74.0,83.0,112.0,2000.0,61.0,12.0,1010.2,-6.5,0.0,1.2
3.0,238.0,86.0,128.0,2100.0,61.0,8.9,1010.7,-5.4,0.0,0.7
154.0,226.0,84.0,140.0,2200.0,61.0,7.3,1011.1,-5.1,0.0,1.3
193.0,234.0,87.0,145.0,2399.0,61.0,4.1,1011.4,-4.1,0.0,1.3
218.0,247.0,101.0,143.0,2799.0,61.0,5.0,1011.3,-5.1,0.0,1.5
249.0,261.0,92.0,134.0,2500.0,61.0,5.3,1011.3,-5.7,0.0,1.4
233.0,239.0,77.0,114.0,2100.0,61.0,4.1,1011.0,-5.7,0.0,1.7
200.0,208.0,79.6824,97.7228,0.0,61.0,4.5,1011.1,-5.0,0.0,0.7
163.0,184.0,77.0,104.0,2200.0,61.0,2.9,1010.9,-5.5,0.0,1.0
172.0,173.0,66.0,106.0,2399.0,61.0,4.6,1010.4,-6.0,0.0,1.2
160.0,175.0,61.0,100.0,2200.0,61.0,4.1,1010.2,-5.9,0.0,1.8
146.0,158.0,59.0,94.0,2000.0,61.0,3.7,1009.9,-5.8,0.0,2.1
137.0,144.0,67.0,85.0,1700.0,61.0,3.9,1010.4,-5.9,0.0,1.8
129.0,140.0,73.0,82.0,1800.0,61.0,4.0,1010.9,-5.8,0.0,2.0
128.0,136.0,86.0,82.0,1600.0,61.0,4.5,1011.6,-5.9,0.0,1.9
120.0,132.0,84.0,72.0,1600.0,61.0,5.3,1011.6,-5.7,0.0,2.1
136.0,138.0,94.0,80.0,1800.0,61.0,6.4,1011.6,-5.6,0.0,2.2
143.0,156.0,97.0,79.0,2100.0,61.0,8.4,1011.4,-5.5,0.0,1.7
164.0,174.0,87.10799999999999,75.7557,0.0,61.0,9.1,1010.5,-5.6,0.0,2.1
160.0,174.0,103.0,87.0,2700.0,61.0,9.7,1009.3,-5.4,0.0,1.7
168.0,186.0,89.0,77.0,1899.0,61.0,10.8,1008.4,-4.9,0.0,0.9
160.0,173.0,84.0,74.0,1800.0,49.0,12.2,1008.0,-4.9,0.0,1.2
161.0,176.0,99.0,86.0,1899.0,49.0,13.1,1008.0,-4.6,0.0,1.2
165.0,191.0,113.0,111.0,2200.0,49.0,12.8,1007.9,-4.8,0.0,0.2
188.0,218.0,125.0,112.0,2200.0,36.0,10.2,1008.4,-3.5,0.0,0.6
201.0,217.0,113.0,113.0,2600.0,26.0,8.1,1009.2,-3.4,0.0,0.0
186.0,217.0,102.0,120.0,2399.0,26.0,5.5,1009.9,-3.3,0.0,0.1
194.0,233.0,86.0,111.0,2899.0,26.0,4.4,1010.3,-3.6,0.0,0.8
203.0,241.0,83.0,116.0,2899.0,26.0,3.4,1010.0,-3.0,0.0,0.1
217.0,245.0,83.0,118.0,3500.0,26.0,3.7,1010.0,-3.1,0.0,0.5
248.0,277.0,74.0,114.0,4500.0,26.0,2.5,1009.9,-2.6,0.0,0.9
299.0,312.0,76.0,117.0,4500.0,26.0,1.2,1009.8,-3.3,0.0,0.0
312.0,320.0,71.0,113.0,4500.0,26.0,1.7,1009.7,-3.6,0.0,0.9
275.0,308.0,71.0,105.0,4500.0,26.0,1.1,1009.2,-3.4,0.0,0.0
278.0,305.0,55.0,99.0,4400.0,26.0,0.1,1009.0,-3.3,0.0,1.9
255.0,290.0,43.0,91.0,3500.0,26.0,0.2,1009.2,-3.4,0.0,0.5
192.0,240.0,39.0,91.0,2500.0,26.0,-0.4,1009.3,-3.8,0.0,0.9
169.0,189.0,42.0,88.0,2500.0,26.0,0.9,1009.1,-3.6,0.0,0.7
151.0,176.0,37.0,74.0,2200.0,26.0,3.1,1009.2,-2.6,0.0,1.7
126.0,149.0,44.0,63.0,2200.0,26.0,6.5,1009.4,-2.2,0.0,1.1
126.0,140.0,98.0,65.0,2100.0,26.0,8.4,1009.0,-2.0,0.0,1.4
157.0,165.0,131.0,104.0,2799.0,26.0,10.5,1008.0,-1.9,0.0,1.0
220.0,227.0,133.0,129.0,3100.0,26.0,14.4,1006.2,-3.0,0.0,2.4
263.0,264.0,134.0,138.0,3200.0,26.0,15.8,1003.9,-2.7,0.0,3.0
272.0,280.0,121.0,156.0,3399.0,41.0,17.3,1002.7,-1.9,0.0,2.6
330.0,335.0,123.0,154.0,3500.0,67.0,17.7,1001.3,-2.1,0.0,1.5
366.0,371.0,112.0,121.0,3100.0,85.0,18.1,1000.3,-2.3,0.0,1.4
259.0,290.0,87.0,110.0,2600.0,91.0,17.4,999.8,-0.8,0.0,1.1
249.0,262.0,93.0,115.0,3100.0,98.0,15.2,999.4,-0.2,0.0,1.2
318.0,328.0,111.0,143.0,4000.0,98.0,13.0,1000.0,0.0,0.0,1.5
404.0,435.0,107.0,183.0,4900.0,43.0,11.2,1000.0,0.6,0.0,0.4
484.0,497.0,110.0,154.0,4599.0,98.0,9.2,1000.2,0.4,0.0,0.4
446.0,486.0,107.0,139.0,4500.0,98.0,6.9,1000.5,0.1,0.0,0.0
425.0,445.0,91.0,159.0,4700.0,98.0,6.4,1000.7,-0.4,0.0,0.9
416.0,425.0,95.0,172.0,4200.0,98.0,5.2,1000.7,-0.6,0.0,1.0
344.0,385.0,96.0,168.0,4099.0,98.0,5.3,1000.6,-1.4,0.0,1.3
386.0,340.0,98.0,111.0,3700.0,98.0,4.5,1000.7,-1.7,0.0,1.1
326.0,352.0,81.0,86.0,3200.0,98.0,3.7,1000.6,-1.7,0.0,1.6
301.0,312.0,76.0,102.0,3299.0,98.0,4.0,1000.3,-2.2,0.0,1.6
335.0,278.0,78.0,107.0,3100.0,98.0,3.2,1001.0,-2.8,0.0,0.5
232.0,249.0,61.0,110.0,3100.0,98.0,1.9,1001.6,-2.8,0.0,0.5
265.0,222.0,40.0,103.0,3100.0,98.0,2.3,1002.3,-2.4,0.0,0.7
263.0,221.0,38.0,96.0,3100.0,98.0,6.8,1002.9,-2.1,0.0,2.0
216.0,223.0,66.0,88.0,3399.0,98.0,10.0,1003.5,-2.0,0.0,2.0
207.0,226.0,96.0,78.0,2700.0,98.0,14.5,1003.4,-2.0,0.0,1.2
174.0,196.0,74.256,62.6165,0.0,98.0,16.8,1003.4,-1.4,0.0,2.1
181.0,244.0,87.0,116.0,2600.0,98.0,20.0,1002.6,-3.0,0.0,3.1
212.0,197.0,67.0,94.0,2100.0,98.0,17.7,1002.4,1.6,0.0,5.5
377.0,515.0,81.1104,133.0344,0.0,98.0,15.8,1001.8,1.9,0.0,6.2
558.0,668.0,117.0,149.0,6099.0,98.0,14.4,1001.8,0.6,0.0,6.7
253.0,330.0,99.0,85.0,4099.0,98.0,13.2,1002.1,0.9,0.0,3.5
170.0,229.0,81.0,64.0,2700.0,98.0,11.7,1002.5,-0.8,0.0,2.6
139.0,156.0,73.0,51.0,1800.0,90.0,10.5,1002.4,-0.9,0.0,3.1
79.0,92.0,44.0,42.0,1200.0,90.0,9.2,1003.2,-1.3,0.0,1.8
58.0,88.0,33.0,41.0,1300.0,90.0,8.1,1003.0,-2.6,0.0,2.7
90.0,104.0,37.0,61.0,1600.0,90.0,6.9,1003.1,-3.7,0.0,1.7
90.0,113.0,42.0,67.0,1700.0,90.0,6.1,1002.5,-3.8,0.0,1.7
79.0,80.0,47.0,70.0,1600.0,90.0,5.2,1001.6,-4.4,0.0,1.7
89.0,93.0,54.0,82.0,1800.0,90.0,3.8,999.9,-3.3,0.0,0.7
54.0,84.0,52.0,91.0,2100.0,90.0,2.9,998.5,-3.0,0.0,1.0
93.0,98.0,42.0,71.0,2100.0,90.0,2.5,997.5,-3.8,0.0,0.6
64.0,93.0,0.0,5.0,200.0,90.0,2.5,996.6,-3.8,0.0,1.7
99.0,105.0,7.0,4.0,0.0,90.0,1.6,995.3,-3.7,0.0,0.6
119.0,131.0,7.0,0.0,100.0,90.0,1.4,994.3,-3.5,0.0,0.8
87.0,105.0,17.0,87.0,1800.0,90.0,2.7,994.6,-3.4,0.0,1.5
106.0,115.0,28.0,84.0,2299.0,90.0,1.8,994.7,-3.3,0.0,1.2
114.0,124.0,31.0,80.0,2399.0,90.0,3.2,995.8,-3.2,0.0,3.3
117.0,143.0,43.0,74.0,2600.0,90.0,6.5,996.7,-2.9,0.0,3.0
127.0,168.0,81.0,67.0,2200.0,90.0,16.1,998.0,-2.9,0.0,7.8
123.0,177.0,88.0,55.0,1800.0,90.0,16.3,1000.3,-8.8,0.0,12.8
76.0,764.0,59.0,66.0,1500.0,90.0,14.0,1003.6,-11.5,0.0,9.7
0.0,0.0,0.0,0.0,0.0,90.0,12.7,1006.6,-15.1,0.0,9.9
0.0,0.0,0.0,0.0,0.0,90.0,10.4,1009.0,-16.0,0.0,7.6
0.0,0.0,0.0,0.0,0.0,90.0,9.8,1010.4,-17.4,0.0,6.2
0.0,0.0,0.0,0.0,0.0,90.0,9.7,1011.7,-17.5,0.0,5.9
0.0,0.0,0.0,0.0,0.0,90.0,10.3,1013.1,-17.9,0.0,6.2
0.0,0.0,0.0,0.0,0.0,88.0,9.1,1015.2,-18.9,0.0,4.1
0.0,0.0,0.0,0.0,0.0,78.0,7.2,1017.9,-17.8,0.0,4.7
0.0,0.0,0.0,0.0,0.0,45.0,6.2,1020.0,-17.8,0.0,7.1
0.0,0.0,0.0,0.0,0.0,35.0,5.3,1022.1,-17.8,0.0,4.8
0.0,0.0,0.0,0.0,0.0,35.0,5.0,1022.8,-17.4,0.0,6.3
0.0,0.0,0.0,0.0,0.0,35.0,4.3,1023.7,-17.4,0.0,2.2
0.0,0.0,0.0,0.0,0.0,35.0,1.5,1024.0,-15.5,0.0,1.0
0.0,0.0,0.0,0.0,0.0,35.0,0.8,1023.7,-14.8,0.0,1.1
0.0,0.0,0.0,0.0,0.0,35.0,-1.0,1023.8,-12.3,0.0,0.0
0.0,0.0,0.0,0.0,0.0,35.0,-1.2,1023.7,-12.8,0.0,0.9
0.0,0.0,0.0,0.0,0.0,35.0,-2.3,1023.9,-10.6,0.0,0.7
0.0,0.0,0.0,0.0,0.0,35.0,-2.3,1024.6,-11.6,0.0,1.3
0.0,0.0,0.0,0.0,0.0,35.0,-3.0,1024.7,-10.8,0.0,0.2
0.0,0.0,0.0,0.0,0.0,35.0,-2.4,1025.0,-12.2,0.0,1.6
0.0,0.0,0.0,0.0,0.0,35.0,2.0,1025.9,-11.9,0.0,0.7
0.0,0.0,0.0,0.0,0.0,35.0,5.1,1026.1,-12.4,0.0,1.5
39.0,39.0,0.0,0.0,0.0,35.0,8.0,1025.7,-16.4,0.0,3.8
56.0,69.0,38.0,74.0,1300.0,21.0,9.3,1024.9,-16.1,0.0,3.5
26.0,37.0,27.0,58.0,900.0,32.0,9.7,1024.4,-16.6,0.0,3.6
24.0,45.0,21.0,49.0,800.0,43.0,11.1,1023.3,-16.4,0.0,3.0
30.0,41.0,16.0,38.0,700.0,56.0,12.2,1022.2,-15.5,0.0,3.1
21.0,26.0,16.0,33.0,600.0,64.0,12.2,1021.2,-15.5,0.0,3.1
32.0,34.0,18.0,30.0,600.0,68.0,11.6,1021.0,-15.1,0.0,3.7
40.0,50.0,20.0,32.0,500.0,68.0,10.7,1020.7,-14.9,0.0,5.0
37.0,58.0,18.0,30.0,500.0,68.0,9.5,1020.7,-13.7,0.0,4.2
45.0,74.0,18.0,37.0,600.0,68.0,7.9,1021.2,-12.6,0.0,2.4
58.0,94.0,20.0,47.0,700.0,68.0,5.7,1021.6,-11.9,0.0,1.7
72.0,108.0,30.0,69.0,900.0,68.0,6.2,1021.8,-11.5,0.0,1.5
91.0,120.0,40.0,83.0,1000.0,68.0,4.6,1021.7,-11.1,0.0,1.6
110.0,141.0,55.0,91.0,1300.0,68.0,3.8,1021.4,-10.7,0.0,1.8
111.0,135.0,53.0,86.0,1300.0,68.0,3.1,1021.5,-10.2,0.0,1.6
99.0,131.0,43.0,81.0,1200.0,68.0,3.1,1021.1,-9.9,0.0,1.8
96.0,126.0,41.0,73.0,1200.0,68.0,2.5,1020.7,-10.1,0.0,2.0
96.0,128.0,64.0,78.0,1200.0,68.0,2.2,1020.1,-9.7,0.0,1.2
104.0,143.0,57.0,74.0,1200.0,68.0,1.2,1019.8,-9.2,0.0,1.5
107.0,142.0,43.0,71.0,1300.0,68.0,1.3,1019.5,-9.1,0.0,1.5
108.0,135.0,41.0,70.0,1399.0,68.0,0.4,1019.6,-8.6,0.0,0.6
114.0,141.0,53.0,70.0,1700.0,68.0,-1.1,1019.9,-7.7,0.0,0.4
131.0,157.0,38.0,68.0,2200.0,68.0,2.2,1020.1,-7.4,0.0,1.1
131.0,155.0,68.0,67.0,2399.0,68.0,4.2,1020.1,-7.9,0.0,1.3
125.0,138.0,86.0,64.0,2299.0,68.0,5.8,1019.4,-8.1,0.0,1.9
134.0,141.0,119.0,66.0,1899.0,68.0,6.9,1018.8,-7.9,0.0,1.5
115.0,131.0,135.0,70.0,1700.0,68.0,8.3,1017.6,-7.5,0.0,1.9
142.0,175.0,150.0,74.0,1800.0,68.0,9.3,1016.2,-7.9,0.0,1.9
147.0,173.0,162.0,76.0,1700.0,68.0,10.6,1014.8,-7.7,0.0,2.1
144.0,160.0,150.0,73.0,1600.0,68.0,11.5,1013.7,-6.9,0.0,2.2
121.0,140.0,105.0,62.0,1399.0,68.0,11.6,1012.8,-6.8,0.0,2.6
105.0,120.0,109.0,56.0,1399.0,68.0,10.8,1012.0,-7.0,0.0,3.4
115.0,157.0,115.0,73.0,1500.0,63.0,10.3,1012.4,-5.7,0.0,1.2
136.0,197.0,119.0,86.0,1800.0,59.0,9.9,1012.6,-3.4,0.0,1.6
133.0,187.0,84.0,88.0,1399.0,56.0,9.5,1013.0,-2.8,0.0,1.1
147.0,198.0,78.0,98.0,1500.0,56.0,9.4,1013.0,-2.6,0.0,1.0
161.0,204.0,77.0,93.0,1600.0,56.0,9.0,1012.5,-3.6,0.0,1.6
153.0,200.0,78.0,82.0,1500.0,56.0,8.6,1012.2,-3.3,0.0,1.8
134.0,192.0,69.0,74.0,1600.0,56.0,8.1,1011.1,-3.4,0.0,1.2
139.0,164.0,65.0,72.0,1600.0,56.0,7.0,1010.3,-3.3,0.0,2.1
134.0,176.0,65.0,75.0,1500.0,56.0,6.1,1009.7,-2.3,0.0,1.3
129.0,170.0,67.0,78.0,1600.0,56.0,6.4,1008.5,-2.5,0.0,1.5
125.0,156.0,77.0,83.0,1600.0,56.0,6.2,1008.8,-1.7,0.0,1.3
123.0,159.0,83.0,84.0,1600.0,56.0,4.4,1009.0,0.5,0.4,1.5
122.0,168.0,44.0,82.0,1600.0,56.0,4.3,1009.0,1.3,0.3,1.5
122.0,138.0,26.0,80.0,1600.0,56.0,4.0,1008.9,1.5,0.2,0.9
100.0,115.0,19.0,72.0,1700.0,56.0,3.5,1009.4,1.5,1.2,0.8
98.0,103.0,15.0,70.0,1600.0,56.0,3.3,1009.6,1.5,0.4,1.4
111.0,104.0,13.0,67.0,1500.0,56.0,3.1,1009.1,1.8,0.2,1.4
118.0,92.0,13.0,62.0,1500.0,56.0,3.5,1009.6,2.2,0.1,1.3
119.0,90.0,12.0,58.0,1500.0,56.0,3.8,1009.3,2.3,0.0,1.1
128.0,96.0,12.0,61.0,1600.0,56.0,4.6,1009.0,2.5,0.0,1.2
121.0,86.0,13.0,54.0,1500.0,56.0,5.3,1009.5,2.6,0.0,1.5
116.0,83.0,13.0,53.0,1300.0,56.0,5.6,1009.9,2.8,0.0,1.3
102.0,67.0,12.0,41.0,1100.0,56.0,6.2,1009.7,3.0,0.0,0.7
112.0,76.0,13.0,52.0,1300.0,31.0,6.8,1010.7,3.4,0.0,2.0
99.0,100.0,22.0,62.0,1600.0,18.0,6.3,1012.2,3.6,0.0,0.8
141.0,100.0,19.0,66.0,1700.0,18.0,5.2,1013.5,3.2,0.0,0.6
155.0,122.0,18.0,64.0,2000.0,17.0,3.9,1014.9,2.3,0.0,0.9
138.0,99.0,17.0,64.0,1899.0,17.0,4.1,1016.9,1.0,0.0,1.0
90.0,66.0,12.0,59.0,1300.0,17.0,2.5,1018.2,0.4,0.0,1.1
77.0,99.0,11.0,58.0,1600.0,17.0,3.1,1019.3,-0.9,0.0,0.9
62.0,100.0,9.0,43.0,1000.0,17.0,4.4,1020.3,-8.7,0.0,3.6
13.0,13.0,10.0,13.0,500.0,66.0,3.4,1021.2,-9.6,0.0,1.5
3.0,6.0,8.0,8.0,400.0,74.0,2.5,1021.7,-11.1,0.0,2.0
9.0,6.0,9.0,2.0,100.0,74.0,1.3,1021.9,-11.2,0.0,1.7
7.0,7.0,5.0,3.0,0.0,74.0,0.8,1022.6,-11.0,0.0,2.6
3.0,6.0,6.0,3.0,100.0,74.0,0.1,1023.3,-11.0,0.0,1.9
3.0,6.0,5.0,18.0,300.0,74.0,-0.4,1024.0,-10.9,0.0,2.8
3.0,6.0,7.0,12.0,300.0,74.0,-0.1,1025.1,-11.2,0.0,2.5
3.0,8.0,6.0,14.0,300.0,74.0,1.6,1026.4,-11.9,0.0,3.6
12.0,8.0,11.0,16.0,300.0,74.0,2.9,1027.9,-13.0,0.0,3.8
